instrument,note,midi,pp_source,mf_source,ff_source,gpr_p,gpr_mp,gpr_f,linear_mp_estimate,quadratic_mp_estimate,gpr_mp_std,mp_minus_p,mf_minus_mp,outside_pp_mf_interval,finite,negative,warnings,model,mp_coordinate
violin,A#3,58.0,28.838925,32.194271,38.719126,30.21289318442394,31.11824578818102,35.31973329832066,30.516598000000002,31.05829303125,0.46183936994106217,0.9053526037570805,1.0760252118189797,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,A#4,70.0,22.652636,20.433399,26.037132,20.95265160063816,20.41096786878752,22.781619885362137,21.5430175,20.2548048125,0.8899672191290174,-0.5416837318506396,0.02243113121248186,True,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,A#5,82.0,10.710713,12.021352,11.619004,11.417277897891392,11.659187868401675,11.878730743605827,11.3660325,11.85428478125,0.2800399721857056,0.2419099705102834,0.36216413159832506,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,A#6,94.0,5.321608,6.28718,6.586375,5.802774245461591,5.959538026360589,6.37066711188512,5.804394,6.108259843749999,0.21145445418736575,0.15676378089899767,0.3276419736394116,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,A3,57.0,30.702267,29.143841,42.287864,28.69609989308627,28.328536915756402,35.059417670480805,29.923054,28.155092906249994,1.7566396434461686,-0.3675629773298681,0.8153040842435963,True,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,A4,69.0,27.47028,23.809207,30.79765,24.86603474807774,23.937540783942165,26.679388434681055,25.6397435,23.726083125,1.2107225643782136,-0.9284939641355763,-0.1283337839421641,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,A5,81.0,13.386584,14.84153,17.357882,14.09766428350579,14.526310791366857,16.103348818724307,14.114056999999999,14.3782866875,0.27787744615251136,0.4286465078610675,0.31521920863314357,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,A6,93.0,7.428443,7.846089,9.525356,7.658784796329582,7.856218646029108,8.704609192812308,7.637266,7.62340053125,0.25669373728285155,0.19743384969952604,-0.010129646029107597,True,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,B3,59.0,39.784207,39.101102,35.503268,39.697232144758786,39.44784290621707,37.49788977004666,39.4426545,39.54513409375,0.37060515929371135,-0.2493892385417169,-0.34674090621707165,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,B4,71.0,25.336199,25.26667,23.994139,25.192963881178624,25.05035110924157,24.57449551167427,25.3014345,25.396833687500006,0.20076397954113065,-0.14261277193705268,0.21631889075842992,True,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
