instrument,note,midi,register_band,pp,mf,ff,source_monotonic,production_gpr_p,production_gpr_mp,production_gpr_f,linear_p,linear_mp,linear_f,pchip_p,pchip_mp,pchip_f,quadratic_p,quadratic_mp,quadratic_f,kernel,gpr_std_p,gpr_std_mp,gpr_std_f,gpr_minus_linear_p,abs_gpr_minus_linear_p,rel_gpr_minus_linear_p,gpr_minus_pchip_p,abs_gpr_minus_pchip_p,gpr_minus_quadratic_p,abs_gpr_minus_quadratic_p,gpr_outside_pp_mf_p,gpr_minus_linear_mp,abs_gpr_minus_linear_mp,rel_gpr_minus_linear_mp,gpr_minus_pchip_mp,abs_gpr_minus_pchip_mp,gpr_minus_quadratic_mp,abs_gpr_minus_quadratic_mp,gpr_outside_pp_mf_mp,gpr_minus_linear_f,abs_gpr_minus_linear_f,rel_gpr_minus_linear_f,gpr_minus_pchip_f,abs_gpr_minus_pchip_f,gpr_minus_quadratic_f,abs_gpr_minus_quadratic_f,gpr_outside_pp_mf_f,row_sensitivity
violin,G3,55.0,low,40.392566,43.608262,47.268749,True,41.99351056333173,42.8269722535443,45.44775016406736,42.000414000000006,42.804338,45.438505500000005,41.946613352243965,42.76466184939946,45.381108397756044,41.944815125000005,42.762638843750004,45.382906625000004,"53**2 * Matern(length_scale=69.4, nu=1.5)",0.27830486317470204,0.2760902936088131,0.27830486317470204,-0.00690343666827431,0.00690343666827431,0.0001643659195424671,0.04689721108776723,0.04689721108776723,0.04869543833172685,0.04869543833172685,False,0.022634253544296712,0.022634253544296712,0.0005287841046460458,0.06231040414483857,0.06231040414483857,0.06433340979429403,0.06433340979429403,False,0.009244664067352915,0.009244664067352915,0.00020345440426848796,0.06664176631131369,0.06664176631131369,0.06484353906735407,0.06484353906735407,True,stable_across_methods
violin,G#3,56.0,low,26.670223,27.936923,29.850445,True,27.344386429771912,27.717655249181174,28.912252416091697,27.303573,27.620248,28.893684,27.230942527793893,27.56885850001813,28.804608972206108,27.22272025,27.5596084375,28.81283125,"30.7**2 * Matern(length_scale=74.1, nu=1.5)",0.23811244007025462,0.23141359543890958,0.23811244007049334,0.04081342977191227,0.04081342977191227,0.0014948017891985152,0.11344390197801957,0.11344390197801957,0.12166617977191407,0.12166617977191407,False,0.09740724918117394,0.09740724918117394,0.0035266609185107224,0.14879674916304353,0.14879674916304353,0.1580468116811744,0.1580468116811744,False,0.01856841609169635,0.01856841609169635,0.0006426461953310056,0.10764344388558911,0.10764344388558911,0.09942116609169815,0.09942116609169815,True,stable_across_methods
violin,A3,57.0,low,21.976319,26.30676,33.911236,True,23.788663303101643,24.943106233647892,30.005768352692414,24.1415395,25.224149750000002,30.108998,23.788419287795318,24.98035990189473,29.643609462204687,23.732285125,24.917208968750003,29.699743625000004,"33.5**2 * Matern(length_scale=19.2, nu=1.5)",0.6609389575708635,0.5173918308900215,0.6609389575708635,-0.35287619689835736,0.35287619689835736,0.014616971585360468,0.00024401530632545132,0.00024401530632545132,0.05637817810164236,0.05637817810164236,False,-0.2810435163521099,0.2810435163521099,0.011141843001154474,-0.03725366824683718,0.03725366824683718,0.025897264897889016,0.025897264897889016,False,-0.10322964730758599,0.10322964730758599,0.0034285314744644108,0.3621588904877271,0.3621588904877271,0.3060247276924102,0.3060247276924102,True,moderate_method_sensitivity
violin,A#3,58.0,low,24.928702,26.174125,33.796324,True,24.965853579156295,25.340179784733987,29.671545038336824,25.551413500000002,25.86276925,29.9852245,25.283786453392214,25.67844722881624,28.90152817160779,24.754316499999998,25.2649465,29.188127499999997,"31.3**2 * Matern(length_scale=13.2, nu=1.5)",1.021020731947972,0.7545659114612252,1.021020731947972,-0.585559920843707,0.585559920843707,0.022916928679648466,-0.3179328742359182,0.3179328742359182,0.21153707915629738,0.21153707915629738,False,-0.5225894652660124,0.5225894652660124,0.02020624551897173,-0.33826744408225196,0.33826744408225196,0.0752332847339865,0.0752332847339865,False,-0.3136794616631775,0.3136794616631775,0.010461134338453177,0.7700168667290335,0.7700168667290335,0.4834175383368269,0.4834175383368269,True,moderate_method_sensitivity
violin,B3,59.0,low,35.052349,32.235913,35.238657,False,33.220381314030384,32.547462212764614,33.318063144584976,33.644131,32.940022,33.737285,32.928377749999996,32.407573656249994,32.998243249999994,32.9167335,32.394473874999996,33.0098875,"35.4**2 * Matern(length_scale=16.7, nu=1.5)",0.8307256755585545,0.627207180479266,0.8307256755586913,-0.42374968596961793,0.42374968596961793,0.012595055166371154,0.29200356403038796,0.29200356403038796,0.3036478140303842,0.3036478140303842,False,-0.39255978723538476,0.39255978723538476,0.01191741120377469,0.13988855651462018,0.13988855651462018,0.15298833776461862,0.15298833776461862,False,-0.41922185541502444,0.41922185541502444,0.012426069715302355,0.31981989458498106,0.31981989458498106,0.3081756445849777,0.3081756445849777,False,moderate_method_sensitivity
violin,C4,60.0,low,24.968644,24.22797,28.351719,False,24.21573132192005,24.07617679417577,25.99448373988703,24.598307,24.4131385,26.2898445,24.32055425,24.23954303125,25.470349437499998,23.990254125,23.957098843749996,25.681791625,"27.2**2 * Matern(length_scale=15.5, nu=1.5)",0.7223464979932815,0.5571391007503272,0.7223464979934389,-0.38257567807994874,0.38257567807994874,0.01555292720267085,-0.10482292807995108,0.10482292807995108,0.22547719692004975,0.22547719692004975,True,-0.3369617058242298,0.3369617058242298,0.013802473853340479,-0.16336623707423215,0.16336623707423215,0.11907795042577263,0.11907795042577263,True,-0.2953607601129704,0.2953607601129704,0.011234785360292656,0.5241343023870328,0.5241343023870328,0.31269211488703164,0.31269211488703164,True,moderate_method_sensitivity
violin,C#4,61.0,low,23.567441,23.995434,24.989969,True,23.861415662897578,24.01959245945251,24.501607926854597,23.7814375,23.88843575,24.4927015,23.72472183787472,23.85118728635906,24.40778166212528,23.710619749999996,23.8353224375,24.42188375,"24.7**2 * Matern(length_scale=129, nu=1.5)",0.2150485537019613,0.19729389532846742,0.2150485537019613,0.07997816289757864,0.07997816289757864,0.0033630499795304068,0.13669382502285643,0.13669382502285643,0.15079591289758199,0.15079591289758199,False,0.13115670945251168,0.13115670945251168,0.005490385005745372,0.1684051730934506,0.1684051730934506,0.18427002195251063,0.18427002195251063,True,0.008906426854597527,0.008906426854597527,0.0003636359531265886,0.09382626472931577,0.09382626472931577,0.07972417685459732,0.07972417685459732,True,stable_across_methods
violin,D4,62.0,low,25.766,30.660517,36.557972,True,28.10605616637618,29.372870851280666,33.61349940759177,28.2132585,29.436887749999997,33.6092445,28.093716671849705,29.34941591208092,33.47805182815029,28.08789125,29.342862312499996,33.48387725,"41.4**2 * Matern(length_scale=35.2, nu=1.5)",0.39565620208629054,0.35493427786206705,0.39565620208657787,-0.10720233362381748,0.10720233362381748,0.0037997147200780615,0.012339494526475647,0.012339494526475647,0.01816491637618256,0.01816491637618256,False,-0.06401689871933058,0.06401689871933058,0.0021747169491221296,0.02345493919974473,0.02345493919974473,0.030008538780670335,0.030008538780670335,False,0.004254907591764834,0.004254907591764834,0.00012659932274778843,0.13544757944147534,0.13544757944147534,0.12962215759176843,0.12962215759176843,True,stable_across_methods
violin,D#4,63.0,low,25.312351,29.459219,31.692791,True,27.48225243331248,28.478217800151967,30.75020993259306,27.385785,28.422502,30.576005000000002,27.660805631846078,28.642214460826843,30.77930836815392,27.624947,28.601873499999996,30.815167,"26.8**2 * Matern(length_scale=28.3, nu=1.5)",0.3704622656221563,0.33957507667325904,0.37046226562261664,0.09646743331247976,0.09646743331247976,0.0035225367216050137,-0.1785531985335993,0.1785531985335993,-0.14269456668752056,0.14269456668752056,False,0.05571580015196531,0.05571580015196531,0.001960270779538174,-0.16399666067487573,0.16399666067487573,-0.1236556998480296,0.1236556998480296,False,0.17420493259305658,0.17420493259305658,0.005697439302258636,-0.029098435560861446,0.029098435560861446,-0.06495706740694018,0.06495706740694018,True,stable_across_methods
violin,E4,64.0,low,26.297346,30.090046,33.424256,True,28.203295671383394,29.138127154314862,31.805118128680803,28.193696000000003,29.141871000000002,31.757151,28.25285073020478,29.18692835273038,31.812618769795222,28.25100725,29.1848544375,31.81446225,"35.6**2 * Matern(length_scale=46, nu=1.5)",0.3000952822866539,0.2934890773014188,0.3000952822855174,0.00959967138339124,0.00959967138339124,0.0003404899940536792,-0.049555058821386666,0.049555058821386666,-0.04771157861660669,0.04771157861660669,False,-0.003743845685139746,0.003743845685139746,0.00012846964030345704,-0.04880119841551789,0.04880119841551789,-0.04672728318513819,0.04672728318513819,False,0.04796712868080277,0.04796712868080277,0.001510435513588822,-0.007500641114418727,0.007500641114418727,-0.009344121319195153,0.009344121319195153,True,stable_across_methods
