family,instrument,band_index,dynamic,energy_provenance,energy_w_bloom,energy_w_buildup,energy_w_decay,energy_w_residue,energy_w_shimmer,energy_w_strike,f_c_hz,f_centre_hz,f_hi_hz,f_lo_hz,fill_fraction,modes_per_band,notes,ref_distance_m,spl_db_decay,spl_db_strike,stroke,t_contact_provenance,t_contact_s
plate,cymbal_16in_thin,13,,internal_default,,0.004413678582755985,,0.04729009181394511,0.030231007040300652,0.005686620899662449,,834.2731048009164,893.4787706641346,778.9906556781491,0.9,5.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,14,,internal_default,,0.005283665520602913,,0.04264924822682515,0.03371998109280448,0.006819074305166534,,955.1007271246142,1020.9726620319176,893.4787706641346,0.9,6.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,15,,internal_default,,0.005299701289154785,,0.03123933118125803,0.03131403322959484,0.006813768884589583,,1089.651288384257,1162.94977763112,1020.9726620319176,0.9,6.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,16,,internal_default,,0.005379573410933298,,0.022245408722254344,0.029223940404428363,0.006807987432225146,,1239.484201797112,1321.055402438827,1162.94977763112,0.9,6.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,17,,internal_default,,0.004649866703875737,,0.01279866650765103,0.023046770088087812,0.0056680707590747,,1406.3359280729921,1497.1217247495472,1321.055402438827,0.9,5.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,18,,internal_default,,0.004980028403595095,,0.008541743755306553,0.0223324250582387,0.00566234357768114,,1592.1401126215692,1693.1890682721116,1497.1217247495472,0.9,5.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,19,,internal_default,,0.004431118408112011,,0.004394240851205614,0.017813884633852372,0.004524877467465007,,1799.050003290016,1911.5295361791561,1693.1890682721116,0.9,4.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,20,,internal_default,,0.005094683579509293,,0.002713027863778573,0.018177270466877782,0.004519425681097054,,2029.4634099536993,2154.6733411054515,1911.5295361791561,0.9,4.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,21,,internal_default,,0.004472481484069736,,0.001201495295922083,0.014006629065518516,0.0033851079978607043,,2286.0504961747515,2425.4381262171387,2154.6733411054515,0.9,3.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,22,,internal_default,,0.008701177120345112,,0.0011260775536593543,0.02363129169768675,0.005633733150755969,,2571.784725619831,2726.9616171356174,2425.4381262171387,0.9,5.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,23,,internal_default,,0.0039735644432872235,,0.00024010320755567515,0.009235601926598523,0.00224995166138501,,2889.9773222733784,3062.7379830990285,2726.9616171356174,0.9,2.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,24,,internal_default,,0.0043723153573165556,,0.00012070660927968647,0.008571885526382229,0.0022460867217460006,,3244.3156440657726,3436.658328728339,3062.7379830990285,0.9,2.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,25,,internal_default,,0.07117721787313853,,0.0008817141573410814,0.11584894762592564,0.03473180760854737,,3638.905914797386,3853.0557856320793,3436.658328728339,0.9,30.984690533828054,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,26,,internal_default,,0.0791823233592972,,0.00043155688460021853,0.10515191531890636,0.038597912012518,,4078.320809686421,4316.755726388418,3853.0557856320793,0.9,34.50453149191772,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,27,,internal_default,,0.08370700930859547,,0.00019559400364274412,0.08898645998938015,0.04288611985839331,,4567.652446074554,4833.131682803398,4316.755726388418,0.9,38.424224123747045,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,28,,internal_default,,0.08435570052890026,,8.149155556135129e-05,0.07030739315795073,0.04764071789683409,,5112.571393434344,5408.167616447384,4833.131682803398,0.9,42.78919132281987,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,29,,internal_default,,0.08159443812259336,,3.096295739098395e-05,0.05211525018453721,0.052910244854263024,,5719.392386557584,6048.527263084527,5408.167616447384,0.9,47.65001599419019,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,30,,internal_default,,0.07657528178650536,,1.0635322842905476e-05,0.036556511383764846,0.05874781133254729,,6395.147503469621,6761.631354584867,6048.527263084527,0.9,53.06302722845994,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,31,,internal_default,,0.07075136605294213,,3.271029492543352e-06,0.024564569669075772,0.06521142273976079,,7147.667656109318,7555.743613196125,6761.631354584867,0.9,59.09095306477129,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,32,,internal_default,,0.06545423623616309,,8.914529295939641e-07,0.01604026814735453,0.07236429907904231,,7985.673338139188,8440.066514709539,7555.743613196125,0.9,65.80364740725172,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,33,,internal_default,,0.06159438399990442,,2.1282249705363638e-07,0.010310614321316913,0.0802751835416276,,8918.87568152042,9424.847930259928,8440.066514709539,0.9,73.27889951870607,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,34,,internal_default,,0.05956130558407361,,4.395380547373221e-08,0.00657051639845675,0.08901862957450889,,9958.08899294587,10521.49988256573,9424.847930259928,0.9,81.60333547226422,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,35,,internal_default,,0.0593000451921535,,7.74595722827374e-09,0.004145046004901787,0.09867525336202111,,11115.35607425443,11742.730792801776,10521.49988256573,0.9,90.87342200736948,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,36,,internal_default,,0.06048032364018208,,1.147439129358672e-09,0.002566019902727792,0.10933193540925641,,12404.08777909383,13102.692750631822,11742.730792801776,0.9,101.19658442314655,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,37,,internal_default,,0.06266945298927201,,1.405463492097315e-10,0.0015397090093454285,0.12108195107773355,,13839.218423072582,14617.145514022386,13102.692750631822,0.9,112.69245146375872,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
