id,category,description,notes,dynamics,instruments,assigned,qty,w,n_events,n_distinct,player_count,span_semitones,interval_raw,interval_reported,pitch_structure_density,sonic_mass,instrument_rss,composite_total,composite_total_pre_log,spectral_entropy,harmonic_ratio,weighted_orchestral,weighted_pitch,warnings,nonfinite_flag
INST.contrasting,INST,WW_HI + STR_LO extremes,C6 C2,mf mf,flauta double_bass,,1 1,0.5,2,2,2,48.0,0.008229747049020023,0.0035595068183171628,0.01001079907172976,45.086333,39.91425815695445,5.076709170178395e-05,0.00011690238111805556,0.5389157163002327,1.0,1.9957129078477225,0.0017797534091585814,,False
INST.mixed_ww,INST,WW hi/mid/lo,C6 C4 C2,mf mf mf,flauta clarinete fagote,,1 1 1,0.5,3,3,3,48.0,0.18966565362784496,0.026623907210711117,0.27688858223955687,86.538838,66.06205115599586,0.0019411366705645733,0.004479636066569912,1.0493090865214294,1.0,3.303102557799793,0.013311953605355559,,False
INST.timbre_iso_ww,INST,triad as 3x WW_HI (timbre iso A),C4 E4 G4,mf mf mf,flauta flauta flauta,,1 1 1,0.5,3,3,3,7.0,1.9077235705087667,0.2137588382139519,3.4423979010879058,58.09180500000001,34.500337379511365,0.01937804332565535,0.045630019988763905,1.5448491220845173,0.4467886305133745,1.7250168689755683,0.10687941910697595,,False
INST.timbre_iso_mixed,INST,triad as WW_HI/STR_HI/WW_LO (timbre iso B),C4 E4 G4,mf mf mf,flauta violino fagote,,1 1 1,0.5,3,3,3,7.0,1.9077235705087667,0.2137588382139519,3.455890455779305,75.518478,46.3989108674108,0.022110615801811024,0.05222984505310042,1.4843022776635508,0.3436875144650029,2.31994554337054,0.10687941910697595,,False
INST.string_choir,INST,string choir hi/hi/lo,C5 G4 C2,mf mf mf,violino violino double_bass,,1 1 1,0.5,3,3,3,36.0,0.6789035845534838,0.08859715141940692,1.1724816719746032,84.781348,51.548101924731526,0.008078434526627385,0.018775364483735534,1.5035212879551367,0.6628637350753139,2.577405096236576,0.04429857570970346,,False
INST.brass_triad,INST,triad as 3x BRASS,C4 E4 G4,mf mf mf,trompete trompete trompete,,1 1 1,0.5,3,3,3,7.0,1.9077235705087667,0.2137588382139519,3.4968476413231797,82.333333,47.91831953497031,0.023327336317072657,0.0551819081622776,1.5732094049527854,0.38440481937006,2.3959159767485154,0.10687941910697595,,False
INST.ww_triad_ref,INST,triad as 3x WW_HI (brass ref),C4 E4 G4,mf mf mf,flauta flauta flauta,,1 1 1,0.5,3,3,3,7.0,1.9077235705087667,0.2137588382139519,3.4423979010879058,58.09180500000001,34.500337379511365,0.01937804332565535,0.045630019988763905,1.5448491220845173,0.4467886305133745,1.7250168689755683,0.10687941910697595,,False
QTY.q1,QTY,triad Qty=1 each,C4 E4 G4,mf mf mf,flauta flauta flauta,,1 1 1,0.5,3,3,3,7.0,1.9077235705087667,0.2137588382139519,3.4423979010879058,58.09180500000001,34.500337379511365,0.01937804332565535,0.045630019988763905,1.5448491220845173,0.4467886305133745,1.7250168689755683,0.10687941910697595,,False
QTY.q2,QTY,triad Qty=2 each,C4 E4 G4,mf mf mf,flauta flauta flauta,,2 2 2,0.5,3,3,6,7.0,1.9077235705087667,0.2137588382139519,3.4423979010879058,116.18361000000002,48.79084502855242,0.02715814696931512,0.06453059311946534,1.5448491220845173,0.4467886305133745,2.4395422514276213,0.10687941910697595,,False
QTY.q4,QTY,triad Qty=4 each,C4 E4 G4,mf mf mf,flauta flauta flauta,,4 4 4,0.5,3,3,12,7.0,1.9077235705087667,0.2137588382139519,3.4423979010879058,232.36722000000003,69.00067475902273,0.037928252394524686,0.09126003997752781,1.5448491220845173,0.4467886305133745,3.4500337379511365,0.10687941910697595,,False
